Airport code,,District,Country
FLU,Flushing,New York,United States
FLV,Sherman AAF,Kansas,United States
FLW,Santa Cruz,Autonomous Region of Azores,Portugal
FLX,Municipal,Nevada,United States
FLY,Finley,Colorado,United States
FMA,El Pucu,CÃ_rdoba Province,Argentina
FMC,Five Mile,Alaska,United States
FME,Tipton AAF,Maryland,United States
FMG,Flamingo,Guanacaste,Costa Rica
FMH,Otis AFB,Massachusetts,United States
FMI,Kalemie,Katanga Province,Congo (Kinshasa)
FMN,Municipal,New Mexico,United States
FMO,Muenster,North Rhine-Westphalia,Germany
FMS,Municipal,Iowa,United States
FMY,Page Field,Florida,United States
FNA,Lungi International,Northern Province,Sierra Leone
FNB,Neubrandenburg,Mecklenburg-Vorpommern,Germany
FNC,Madeira,Autonomous Region of Madeira,Portugal
FNE,Fane,Central,Papua New Guinea
FNG,Fada Ngourma,Gourma,Burkina Faso
FNH,Fincha,Oromia,Ethiopia
FNI,Garons,Languedoc-Roussillon,France
FNJ,Sunan,Pyongyang (capital city),North Korea
FNK,Fin Creek,Not found,Not found
FNL,Municipal Airport,Colorado,United States
FNR,SPB,Alaska,United States
FNT,Bishop,Michigan,United States
FOA,Foula,Illinois,United States
FOB,Fort Bragg,California,United States
FOC,Fuzhou,Fujian Province,China
FOD,Fort Dodge,Iowa,United States
FOE,Forbes AFB,Kansas,United States
FOG,Gino Lisa,Apulia,Italy
FOK,Suffolk County,New York,United States
FOM,Foumban,West Region,Cameroon
FON,Fortuna,Alajuela,Costa Rica
FOO,Numfoor,Papua,Indonesia
FOP,Morris AAF,Georgia,United States
FOR,Pinto Martins,CearÃ¡,Brazil
FOS,Forrest,Western Australia,Australia
FOT,Forster,California,United States
FOU,Fougamou,NgouniÃ© Province,Gabon
FOX,Fox,Not found,Not found
FOY,Foya,Lofa County,Liberia
FPR,St Lucie County,Florida,United States
FPY,Perry-Foley,Florida,United States
FRA,Frankfurt International Airport (Rhein-Main),Hesse,Germany
FRB,Forbes,New South Wales,Australia
FRC,Franca,SÃ£o Paulo,Brazil
FRD,Friday Harbor,Washington,United States
FRE,Fera Island,Isabel,Solomon Islands
FRF,Rhein-Main AFB,Not found,Not found
FRG,Republic Field,New York,United States
FRH,Municipal,Indiana,United States
FRI,Marshall AAF,Kansas,United States
FRJ,Frejus,Provence-Alpes-CÃ´te-d'Azur,France
FRK,Fregate Is,La Digue,Seychelles
FRL,Luigi Ridolfi,Emilia-Romagna,Italy
FRM,Fairmont,Minnesota,United States
FRN,Bryant AAF,Alaska,United States
FRO,Flora,Sogn og Fjordane,Norway
FRP,Fresh Water Bay,Not found,Not found
FRQ,Feramin,Sandaun (West Sepik),Papua New Guinea
FRR,Fort Meyers,Virginia,United States
FRS,Santa Elena,Santiago del Estero Province,Argentina
FRT,Frutillar,Los Lagos Region,Chile
FRU,Bishkek,Chuy Region,Kyrgyzstan
FRW,Francistown,North-East District,Botswana
FRY,Fryeburg,Maine,United States
FRZ,Fritzlar Airbase,Hesse,Germany
FSC,Sud Corse,Corsica,France
FSD,Regional(Jo Foss Fld),South Dakota,United States
FSI,Henry Post AAF,Oklahoma,United States
FSK,Municipal,Kansas,United States
FSL,Fossil Downs,Western Australia,Australia
FSM,Municipal,Arkansas,United States
FSN,Haley AAF,Illinois,United States
FSP,Saint-Pierre Pointe-Blanche,Saint-Pierre,Saint Pierre and Miquelon
FSS,Kinloss,Scotland,United Kingdom
FST,Pecos County,Texas,United States
FSU,Fort Sumner,New Mexico,United States
FTA,Futuna Airport,Tafea,Vanuatu
FTE,El Calafate,Sinaloa,Mexico
FTI,Fitiuta,American Samoa,Not found
FTK,Godman AAF,Kentucky,United States
FTL,Fortuna Ledge,Not found,Not found
FTU,Marillac,Toliara,Madagascar
FTW,Meacham Field,Texas,United States
FTX,Owando,Cuvette Department,Congo (Brazzaville)
FTY,Fulton County,Georgia,United States
FUB,Fulleborn,East New Britain,Papua New Guinea
FUD,Sui Fen He,AntioquÃ_a Department,Colombia
FUE,Fuerteventura,Canary Islands,Spain
FUG,Fuyang,China,Not found
FUJ,Fukue,Nagasaki Prefecture,Japan
FUK,Fukuoka,Fukuoka Prefecture,Japan
FUL,Municipal,California,United States
FUM,Fuma,Western (Fly River),Papua New Guinea
FUN,International,CÃ_rdoba Province,Argentina
FUO,Fuoshan,Meta Department,Colombia
FUT,Futuna Island,Wallis and Futuna,Not found
FVL,Flora Valey,Western Australia,Australia
FVR,Forrest River Airport,Western Australia,Australia
FWA,Municipal/Baer Field,Indiana,United States
FWH,Carswell AFB,Texas,United States
FWL,Farewell,Alaska,United States
FWM,Heliport,Not found,Not found
FXE,Executive,Florida,United States
FXM,Flaxman Island,Alaska,United States
FXO,Cuamba,Niassa Province,Mozambique
FXY,Municipal,Iowa,United States
FYM,Municipal,Tennessee,United States
FYN,Fuyun,Not found,Not found
FYT,Faya,Borkou-Ennedi-Tibesti,Chad
FYU,Fort Yukon,Alaska,United States
FYV,Municipal (Drake Fld),Arkansas,United States
FZO,Filton,England,United Kingdom
GAA,Guamal,Entre RÃ_os Province,Argentina
GAB,Gabbs,Nevada,United States
GAC,Gracias,Lempira,Honduras
GAD,Municipal,Alabama,United States
GAE,Gabes,GabÃ¨s Governorate,Tunisia
GAF,Gafsa,Gafsa Governorate,Tunisia
GAG,Gage,Oklahoma,United States
GAH,Gayndah,Queensland,Australia
GAI,Montgomery County,Maryland,United States
GAJ,Junmachi,Yamagata Prefecture,Japan
GAK,Gakona,Not found,Not found
GAL,Galena,Alaska,United States
GAM,Gambell,Alaska,United States
GAN,Gan Airport,Seenu Atoll,Maldives
GAO,Los Canos,GuantÃ¡namo,Cuba
GAP,Gusap,Gulf,Papua New Guinea
GAQ,Gao,Gao Region,Mali
GAR,Garaina,Buenos Aires Province,Argentina
GAS,Garissa,Ohio,United States
GAT,Tallard,Provence-Alpes-CÃ´te-d'Azur,France
GAU,Borjhar,Assam,India
GAV,Gag Island,West Papua,Indonesia
GAW,Gangaw,Magway Division,Burma
GAX,Gamba,OgoouÃ©-Maritime Province,Gabon
GAY,Gaya,Bihar,India
GAZ,Guasopa,Milne Bay,Papua New Guinea
GBA,Big Bay,England,United Kingdom
GBB,Gara Djebilet,Qabala,Azerbaijan
GBC,Gasuke,Western (Fly River),Papua New Guinea
GBD,Great Bend,Kansas,United States
GBE,Sir Seretse Khama Int,South-East District,Botswana
GBF,Negarbo,Chimbu,Papua New Guinea
GBG,Galesburg,Illinois,United States
GBH,Galbraith Lake,Alaska,United States
GBI,Aux Ab,High Rock,Bahamas
GBJ,Les Bases,Guadeloupe,Not found
GBK,Gbangbatok,Southern Province,Sierra Leone
GBL,Goulburn Island,Northern Territory,Australia
GBM,Garbaharey,Gedo,Somalia
GBN,San Giovanni Rotondo,Jiwaka,Papua New Guinea
GBO,Baltimore Greenbelt T,Not found,Not found
GBP,Gamboola,Queensland,Australia
GBQ,Muharraq,Not found,Not found
GBR,Great Barrington,Massachusetts,United States
GBS,Port Fitzroy,Zacatecas,Mexico
GBT,Gorgan,Golestan Province,Iran
GBU,Khashm El Girba,Al Qadarif State,Sudan
GBV,Gibb River,Western Australia,Australia
GBZ,Great Barrier Island,Auckland Region,New Zealand
GCA,Guacamaya,Huila Department,Colombia
GCC,Campbell County,Wyoming,United States
GCH,Gachsaran,Kohgiluyeh and Boyer-Ahmad Province,Iran
GCI,Guernsey,Guernsey,Not found
GCJ,International,Gauteng,South Africa
GCK,Municipal Airport,Kansas,United States
GCM,Owen Roberts International,Cayman Islands,Not found
GCN,National Park,Arizona,United States
GCV,Gravatai,Rio Grande do Sul,Brazil
GCY,Municipal,Tennessee,United States
GDA,Gounda,Not found,Not found
GDC,Donaldson Center,South Carolina,United States
GDD,Gordon Downs,Western Australia,Australia
GDE,Gode/Iddidole,Somali,Ethiopia
GDG,Magdagachi,Amur Oblast,Russia
GDH,SPB,Alaska,United States
GDI,Gordil,Bamingui-Bangoran,Central African Republic
GDJ,Gandajika,Texas,United States
GDL,Miguel Hidal,Jalisco,Mexico
GDM,Municipal,Massachusetts,United States
GDN,Rebiechowo,Pomerania,Poland
GDO,Vare Maria,Apure,Venezuela
GDP,Guadalupe,PiauÃ_,Brazil
GDQ,Gondar,Amara,Ethiopia
GDT,Grand Turk Is,Grand Turk ,Turks and Caicos Islands
GDV,Dawson Community,Montana,United States
GDW,Gladwin,Michigan,United States
GDX,Magadan,Magadan Oblast,Russia
GDZ,Gelendzik,Krasnodar Krai,Russia
GEA,Magenta,New Caledonia,Not found
GEB,Gebe,Maluku Utara,Indonesia
GEC,Gecitkale,Famagusta District,Cyprus
GED,Sussex County,Delaware,United States
GEE,George Town,Tasmania,Australia
GEF,Geva Airstrip,Western,Solomon Islands
GEG,International,Washington,United States
GEI,Green Islands,East Sepik,Papua New Guinea
GEK,Ganes Creek,Not found,Not found
GEL,Sepe Tiaraju,Rio Grande do Sul,Brazil
GEN,Puente Genil,Not found,Not found
GER,Rafael Cabrera,Isla de la Juventud,Cuba
GES,Buayan,South Cotabato Province,Philippines
GET,Geraldton,Western Australia,Australia
GEV,Gallivare,Norrbottena lÃ_n,Sweden
GEW,Gewoia,Northern (Oro),Papua New Guinea
GEX,Geelong,Victoria,Australia
GEY,South Big Horn County,Wyoming,United States
GFA,Malmstrom AFB,Montana,United States
GFB,Togiak Fish,Not found,Not found
GFD,Pope Field,Indiana,United States
GFE,Grenfell,New South Wales,Australia
GFF,Griffith,New South Wales,Australia
GFK,Grand Forks,North Dakota,United States
GFL,Warren County,New York,United States
GFN,Grafton,New South Wales,Australia
GFO,Bartica,Cuyuni-Mazaruni,Guyana
GFR,Granville,Lower Normandy,France
GFY,Grootfontein,Otjozondjupa Region,Namibia
GGC,Lumbala,Moxico Province,Angola
GGD,Gregory Downs,Queensland,Australia
GGE,Georgetown,South Carolina,United States
GGG,Kilgore,Texas,United States
GGL,Gilgal,ChocÃ_ Department,Colombia
GGN,Gagnoa,Haut-Sassandra,CÃ´te d'Ivoire
GGO,Guiglo,Moyen-Cavally,CÃ´te d'Ivoire
GGR,Garoe,Nugaal,Somalia
GGS,Gobernador Gregores,Santa Cruz Province,Argentina
GGT,Exuma International,Exuma,Bahamas
GGW,International,Montana,United States
GHA,Noumerate,GhardaÃ¯a Province,Algeria
GHB,Governors Harbour,Governor's Harbour,Bahamas
GHC,Great Harbour,Nicholls Town and Berry Islands,Bahamas
GHD,Ghimbi,Not found,Not found
GHE,Garachine,DariÃ©n Province,Panama
GHF,Giebelstadt,Bavaria,Germany
GHK,Gush Katif,Khan Yunis Governorate,Palestinian Territory
GHM,Municipal,Tennessee,United States
GHN,Guanghan,Sichuan Province,China
GHT,Ghat,Ghat District,Libya
GHU,Gualeguaychu,Entre RÃ_os Province,Argentina
GIB,North Front,Gibraltar,Not found
GIC,Boigu Island,Idaho,United States
GID,Gitega,Gitega,Burundi
GIF,Gilbert Field,Florida,United States
GIG,Galeão–Antonio Carlos Jobim International Airport,Rio de Janeiro,Brazil
GII,Siguiri,Kankan Region,Guinea
GIL,Gilgit,Northern Areas,Pakistan
GIM,Miele Mimbale,Not found,Not found
GIR,Girardot,Cundinamarca Department,Colombia
GIS,Gisborne,Gisborne Region,New Zealand
GIT,Geita,Corrientes Province,Argentina
GIU,Sigiriya Slaf Base,Central Province,Sri Lanka
GIY,Giyani,Limpopo,South Africa
GIZ,Jazan,Jlzan Region,Saudi Arabia
GJA,Guanaja,Islas de la Bahia,Honduras
GJL,Jijel,Jijel Province,Algeria
GJM,Guajara-Mirim,RondÃ´nia,Brazil
GJR,Gjogur,Westfjords,Iceland
GJT,Walker Field,Colorado,United States
GKA,Goroka,Eastern Highlands,Papua New Guinea
GKE,Geilenkirchen,North Rhine-Westphalia,Germany
GKH,Gorkha,Gandaki,Nepal
GKL,Great Keppel Island,Queensland,Australia
GKN,Gulkana,Alaska,United States
GKO,Kongoboumba,Not found,Not found
GKT,Gatlinburg,Tennessee,United States
GLA,Glasgow International,Scotland,United Kingdom
GLC,Geladi,Somali,Ethiopia
GLD,Renner Field,Kansas,United States
GLE,Municipal,Texas,United States
GLF,Golfito,Puntarenas,Costa Rica
GLG,Glengyle,Queensland,Australia
GLH,Greenville,Mississippi,United States
GLI,Glen Innes,New South Wales,Australia
GLK,Galcaio,Mudug,Somalia
GLL,Klanten Arpt,Buskerud,Norway
GLM,Glenormiston,Queensland,Australia
GLN,Goulimime,Tiznit Province,Morocco
GLO,Gloucestershire,England,United Kingdom
GLP,Gulgubip,Entre RÃ_os Province,Argentina
GLQ,Glennallen,Not found,Not found
GLR,Otsego County,Michigan,United States
GLS,Scholes Field,Texas,United States
GLT,Gladstone,Queensland,Australia
GLV,Golovin,Alaska,United States
GLW,Municipal,Kentucky,United States
GLX,Galela,Maluku Utara,Indonesia
GLY,Goldsworthy,Missouri,United States
GLZ,Gilze-Rijen,Noord-Brabant,Netherlands
GMA,Gemena,Equateur Province,Congo (Kinshasa)
GMB,Gambela,Gambela Peoples,Ethiopia
GMC,Guerima,Meta Department,Colombia
GME,Gomel,Homiel Voblast,Belarus
GMI,Gasmata Island,West New Britain,Papua New Guinea
GMM,Gamboma,Plateaux Department,Congo (Brazzaville)
GMN,Greymouth,West Coast Region,New Zealand
GMR,Gambier Is,French Polynesia,Not found
GMS,Guimaraes,MaranhÃ£o,Brazil
GMT,Granite Mountain,Alaska,United States
GMU,Downtown,South Carolina,United States
GMV,Monument Valley,Utah,United States
GMY,Rheindahlen,BolÃ_var Department,Colombia
GMZ,La Gomera,Canary Islands,Spain
GNA,Grodna,Hrodna Voblast,Belarus
GNB,Saint Geoirs,RhÃ´ne Alpes,France
GND,Point Saline Intl,Saint George,Grenada
GNE,Ghent,Not found,Not found
GNG,Gooding,Idaho,United States
GNI,Green Island,Taitung County,Taiwan
GNM,Guanambi,Bahia,Brazil
GNN,Ghinnir,Oromia,Ethiopia
GNR,General Roca,RÃ_o Negro Province,Argentina
GNS,Gunungsitoli,Sumatera Utara,Indonesia
GNT,Milan,New Mexico,United States
GNU,Goodnews Bay,Alaska,United States
GNV,Gainesville Regional,Florida,United States
GNZ,Ghanzi,Ghanzi District,Botswana
GOA,Cristoforo Colombo,Liguria,Italy
GOB,Goba,Oromia,Ethiopia
GOC,Gora,Buenos Aires Province,Argentina
GOE,Gonalia,East New Britain,Papua New Guinea
GOF,Goodfellow AFB,Not found,Not found
GOG,Gobabis,Omaheke Region,Namibia
GOH,Nuuk,Greenland,Not found
GOI,Dabolim,Goa,India
GOJ,Nizhniy Novgorod,Nizhny Novgorod Oblast,Russia
GOK,Guthrie,Oklahoma,United States
GOL,State,Oregon,United States
GOM,Goma,Nord-Kivu Province,Congo (Kinshasa)
GON,New London,Connecticut,United States
GOO,Goondiwindi,California,United States
GOP,Gorakhpur,Texas,United States
GOQ,Golmud,Qinghai Province,China
GOR,Gore,La Rioja Province,Argentina
GOS,Gosford,Not found,Not found
GOT,Landvetter,VÃ_stra GÃ¶talands lÃ_n,Sweden
GOU,Garoua,North Region,Cameroon
GOV,Nhulunbuy,Michigan,United States
GOY,Amparai,Corrientes Province,Argentina
GOZ,Gorna Orechovitsa,Veliko Tarnovo Province,Bulgaria
GPA,Araxos Airport,Achaea,Greece
GPB,Tancredo Thomaz Faria,ParanÃ¡,Brazil
GPI,Guapi,Montana,United States
GPL,Guapiles,Limon,Costa Rica
GPN,Garden Point,Northern Territory,Australia
GPO,General Pico,La Pampa Province,Argentina
GPS,Baltra,Galapagos Province,Ecuador
GPT,Biloxi Regional,Mississippi,United States
GPZ,Grand Rapids,Minnesota,United States
GQJ,RAF Station,Not found,Not found
GQQ,Galion,Ohio,United States
GRA,Gamarra,Tierra del Fuego Province,Argentina
GRB,Austin-straubel Field,Wisconsin,United States
GRC,Grand Cess,Grand Kru County,Liberia
GRD,Greenwood,South Carolina,United States
GRE,Municipal,Illinois,United States
GRF,Gray AAF,Washington,United States
GRG,Gardez,Paktia Province,Afghanistan
GRH,Garuahi,Milne Bay,Papua New Guinea
GRI,Grand Island,Nebraska,United States
GRJ,George,Western Cape,South Africa
GRK,Gray AAF,Texas,United States
GRL,Garasa,Morobe,Papua New Guinea
GRM,Devils Track,Minnesota,United States
GRN,Gordon,Nebraska,United States
GRO,Costa Brava,Girona,Spain
GRP,Gurupi,Tocatins,Brazil
GRQ,Eelde,Drente,Netherlands
GRR,Kent County Intl,Michigan,United States
GRS,Baccarini,Tuscany,Italy
GRT,Gujrat,Punjab,Pakistan
GRU,Guarulhos Intl,SÃ£o Paulo,Brazil
GRV,Groznyj,Chechen Republic,Russia
GRW,Graciosa Island,Autonomous Region of Azores,Portugal
GRX,Granada,AndalucÃ_a,Spain
GRY,Grimsey,Northeastern Region,Iceland
GRZ,Thalerhof,Styria,Austria
GSA,Long Pasia,Sabah,Malaysia
GSB,Seymour Johnson AFB,North Carolina,United States
GSC,Gascoyne Junction,Western Australia,Australia
GSE,Saeve,VÃ_stra GÃ¶talands lÃ_n,Sweden
GSH,Goshen,Indiana,United States
GSI,Guadalcanal,Saint-Laurent-du-Maroni,French Guiana
GSL,Taltheilei Narrows,Northwest Territories,Canada
GSM,Gheshm,Hormozgan Province,Iran
GSN,Mount Gunson,Northern Mariana Islands,Not found
GSO,Piedmont Triad Intl,North Carolina,United States
GSP,Greenville-Spartanbur,South Carolina,United States
GSQ,Shark Elowainat,New Valley Governorate,Egypt
GSR,Gardo,Bari,Somalia
GSS,Sabi Sabi,Mpumalanga,South Africa
GST,Gustavus Arpt,Alaska,United States
GSU,Gedaref,Al Qadarif State,Sudan
GSY,Binbrook,England,United Kingdom
GTA,Gatokae Aerodrom,Western,Solomon Islands
GTB,Genting,New York,United States
GTC,Green Turtle,Not found,Not found
GTE,Alyangula,Nebraska,United States
GTF,International,Montana,United States
GTG,Municipal,Wisconsin,United States
GTI,Guettin,Mecklenburg-Vorpommern,Germany
GTK,Sungei Tekai,Johor,Malaysia
GTN,Glentanner,Canterbury Region,New Zealand
GTO,Tolotio,Gorontalo,Indonesia
GTR,Golden Triangle Reg.,Mississippi,United States
GTS,Granites,South Australia,Australia
GTT,Georgetown,Queensland,Australia
GTW,Holesov,Zlin Region,Czechia
GTY,Gettysburg,Pennsylvania,United States
GUA,La Aurora,Guatemala,Guatemala
GUB,Guerrero Negro,Baja California,Mexico
GUC,Gunnison,Colorado,United States
GUD,Goundam,Tombouctou Region,Mali
GUE,Guriaso,Valle del Cauca Department,Colombia
GUF,Edwards,Alabama,United States
GUG,Guari,Central,Papua New Guinea
GUH,Gunnedah,New South Wales,Australia
GUI,Guiria,Eastern Samar Province,Philippines
GUJ,Guaratingueta,SÃ£o Paulo,Brazil
GUL,Goulburn,New South Wales,Australia
GUN,Gunter AFB,Huila Department,Colombia
GUO,Gualaco,Olancho,Honduras
GUP,Senator Clark,New Mexico,United States
GUQ,Guanare,Portuguesa,Venezuela
GUR,Gurney,Milne Bay,Papua New Guinea
GUS,Grissom AFB,Indiana,United States
GUT,Guetersloh,North Rhine-Westphalia,Germany
GUU,Grundarfjordur,Western Region,Iceland
GUV,Mougulu,Western (Fly River),Papua New Guinea
GUW,Atyrau,Atyrau Region,Kazakhstan
GUX,Guna,Madhya Pradesh,India
GUY,Guymon,Oklahoma,United States
GUZ,Guarapari,EspÃ_rito Santo,Brazil
GVA,Geneve-cointrin,Canton of Geneva,Switzerland
GVE,Municipal,Virginia,United States
GVI,Green River,Sandaun (West Sepik),Papua New Guinea
GVL,Lee Gilmer Memorial,Georgia,United States
GVP,Greenvale,Queensland,Australia
GVR,Governador Valadares,Minas Gerais,Brazil
GVT,Majors Field,Texas,United States
GVW,Richards-Gebaur,Missouri,United States
GVX,Sandviken,GÃ_vleborge lÃ_n,Sweden
GWA,Gwa,Rakhine State,Burma
GWD,Gwadar,Balochistan,Pakistan
GWE,Gweru,Midlands Province,Zimbabwe
GWL,Gwalior,Madhya Pradesh,India
GWN,Gnarowein,Morobe,Papua New Guinea
GWO,Leflore,Mississippi,United States
GWS,Glenwood Springs,Colorado,United States
GWT,Westerland - Sylt,Schleswig-Holstein,Germany
GWV,Glendale,West Virginia,United States
GWW,RAF Gatow,North Carolina,United States
GWY,Carnmore,County Galway,Ireland
GXF,Seiyun,Hadramawt Governorate,Yemen
GXG,Negage,UÃ_ge Province,Angola
GXH,NAF,Gansu Province,China
GXQ,Ten. Vidal,AysÃ©n Region,Chile
GXX,Yagoua,Far North Region,Cameroon
GXY,Weld County,Colorado,United States
GYA,Guayaramerin,El Beni Department,Bolivia
GYE,Simon Bolivar,Guayas Province,Ecuador
GYI,Gisenyi,West,Rwanda
GYL,Argyle,Minnesota,United States
GYM,Gen Jose M Yanez,Sonora,Mexico
GYN,Santa Genoveva,GoiÃ¡s,Brazil
GYP,Gympie,Queensland,Australia
GYR,Litchfield,Arizona,United States
GYS,Guang Yuan,Sichuan Province,China
GYY,Gary Regional,Indiana,United States
GZA,Gaza - Yaser Arafat International Airport,Rafah Governorate,Palestinian Territory
GZI,Ghazni,Ghazni Province,Afghanistan
GZM,Gozo Heliport,Xewkija,Malta
GZO,Gizo,Western,Solomon Islands
GZT,Gaziantep,Gaziantep Province,Turkey
GZW,Ghazvin,Qazvin Province,Iran
HAA,Hasvik,Finnmark,Norway
HAB,Marion County,Alabama,United States
HAC,Hachijo Jima,TÅçkyÅç Prefecture,Japan
HAD,Halmstad,Hallands lÃ_n,Sweden
HAE,Havasupai,Arizona,United States
HAF,Half Moon,California,United States
HAH,Prince Said Ibrahim In,Grande Comore Ngazidja,Comoros
HAI,Dr Haines,Michigan,United States
HAJ,Hanover Arpt,Lower Saxony,Germany
HAK,Haikou,Hainan Province,China
HAL,Halali,Oshikoto Region,Namibia
HAM,Hamburg,Hamburg,Germany
HAN,Noibai International,Ha Tay Province,Vietnam
HAO,Hamilton,Ohio,United States
HAP,Long Island,Buenos Aires Province,Argentina
HAQ,Hanimaadhoo,Haa Dhaalu Atoll,Maldives
HAR,Harrisburg Skyport,Pennsylvania,United States
HAS,Hail,Ha'il Region,Saudi Arabia
HAT,Heathlands,Queensland,Australia
HAU,Haugesund,Rogaland,Norway
HAV,Jose Marti Intl,Ciudad de la Habana,Cuba
HAW,Haverfordwest,Wales,United Kingdom
HAX,Hatbox Field,Oklahoma,United States
HAY,Haycock,Alaska,United States
HAZ,Hatzfeldthaven,Madang,Papua New Guinea
HBA,Hobart,Tasmania,Australia
HBB,Industrial Airpark,New Mexico,United States
HBC,Hanus Bay,North Dakota,United States
HBD,Habi,Santiago del Estero Province,Argentina
HBE,Borg El Arab,Alexandria Governorate,Egypt
HBG,The Hattiesburg-Bobby L. Chain Mun.,Mississippi,United States
HBH,Hobart Bay,Alaska,United States
HBI,Harbour Island,North Carolina,United States
HBL,Babelegi Heliport,Not found,Not found
HBN,Flamingo,Not found,Not found
HBO,Municipal,TucumÃ¡n Province,Argentina
HBR,Hobart,Oklahoma,United States
HBT,Hafr Albatin,Southern Province,Sri Lanka
HBX,Hubli,Karnataka,India
HCA,Howard County,Alaska,United States
HCB,Shoal Cove,Not found,Not found
HCC,Columbia County,New York,United States
HCM,Eil,Nugaal,Somalia
HCN,Hengchun,Pingtung County,Taiwan
HCQ,Halls Creek,Western Australia,Australia
HCR,Holy Cross,Alaska,United States
HCS,Randburg Heliport,Buenos Aires Province,Argentina
HCW,Cheraw,South Carolina,United States
HDA,Hidden Falls,Capital federal,Argentina
HDB,Heidelberg,Baden-WÃ_rttemberg,Germany
HDD,Hyderabad,Sindh,Pakistan
HDE,Brewster Field,Nebraska,United States
HDF,Heringsdorf,Mecklenburg-Vorpommern,Germany
HDH,Dillingham Airfield,Hawaii,United States
HDM,Hamadan,Hamadan Province,Iran
HDN,Yampa Valley,Colorado,United States
HDR,Havadarya,Hormozgan Province,Iran
HDS,Hoedspruit Airport,Limpopo,South Africa
HDY,Hat Yai,Songkhla Province,Thailand
HEA,Herat,Herat Province,Afghanistan
HEB,Henzada,Ayeyarwady Division,Burma
HED,Herendeen,Alaska,United States
HEE,Thompson-Robbins,Arkansas,United States
HEH,Heho,Shan State,Burma
HEI,Heide-Buesum,North Dakota,United States
HEK,Heihe,Heilongjiang Province,China
HEL,Helsinki-vantaa,Southern Finland,Finland
HEM,Helsinki-Malmi,Southern Finland,Finland
HEN,Hendon,Tierra del Fuego Province,Argentina
HEO,Haelogo,Central,Papua New Guinea
HER,N. Kazantzakis Apt.,Irakleion,Greece
HES,State,Oregon,United States
HET,Hohhot,Inner Mongolia Autonomous Region,China
HEV,Huelva,Valle del Cauca Department,Colombia
HEW,Hellinikon (Closed),Attica,Greece
HEX,Herrera,Distrito Nacional,Dominican Republic
HEY,Hanchey Army Heliport,Alabama,United States
HEZ,Hardy-Anders,Mississippi,United States
HFA,Haifa,Haifa District,Israel
HFD,Brainard,Connecticut,United States
HFE,Shanghai,Anhui Province,China
HFF,Mackall AAF,North Carolina,United States
HFN,Hornafjordur,Southern Region,Iceland
HFS,Hagfors,VÃ_rmlanda lÃ_n,Sweden
HFT,Hammerfest,Finnmark,Norway
HGA,Hargeisa,Woqooyi Galbeed,Somalia
HGD,Hughenden,Queensland,Australia
HGH,Hangzhou,Zhejiang Province,China
HGI,Higlieg,Upper Nile State,South Sudan
HGL,Helgoland,Schleswig-Holstein,Germany
HGN,Mae Hong Son,Mae Hong Son Province,Thailand
HGO,Korhogo,Savanes,CÃ´te d'Ivoire
HGR,Wash. County Regional,Maryland,United States
HGS,Hastings,Western Area,Sierra Leone
HGT,Hunter AAF,California,United States
HGU,Kagamuga,Western Highlands,Papua New Guinea
HGZ,Hogatza,Alaska,United States
HHA,Changsha Huanghua,Not found,Not found
HHE,Hachinohe,Aomori Prefecture,Japan
HHH,Hilton Head,South Carolina,United States
HHI,Wheeler AFB,Hawaii,United States
HHN,Hahn,Rhineland-Palatinate,Germany
HHP,H K Heliport,Hong Kong,Not found
HHQ,Hua Hin Airport,Phetchaburi Province,Thailand
HHR,Hawthorne,California,United States
HHZ,Hikueru,French Polynesia,Not found
HIB,Chisholm,Minnesota,United States
HIC,Iscor Heliport,Nayarit,Mexico
HID,Horn Island,Queensland,Australia
HIE,Regional,New Hampshire,United States
HIF,Hill AFB,Utah,United States
HIG,Highbury,Missouri,United States
HIH,Hook Island,Not found,Not found
HII,Municipal,Arizona,United States
HIJ,International,Hiroshima Prefecture,Japan
HIK,Hickam AFB,Not found,Not found
HIL,Shillavo,Somali,Ethiopia
HIM,Hingurakgoda,North Central Province,Sri Lanka
HIN,Sacheon,Gyeongsangnamdo,South Korea
HIO,Portland,Oregon,United States
HIP,Headingly,Queensland,Australia
HIR,Henderson Intl,Capital Territory (Honiara),Solomon Islands
HIS,Hayman Island,Queensland,Australia
HIT,Hivaro,Corrientes Province,Argentina
HIW,Hiroshima West,Hiroshima Prefecture,Japan
HIX,Hiva Oa,Not found,Not found
HJJ,Zhi Jiang,Hunan Province,China
HJR,Khajuraho,Madhya Pradesh,India
HJT,Khujirt,Ã–vÃ¶rkhangai,Mongolia
HKA,Municipal,Arkansas,United States
HKB,Healy Lake,Alaska,United States
HKD,Hakodate,HokkaidÅç Prefecture,Japan
HKG,Hong Kong International,Hong Kong,Not found
HKK,Hokitika Arpt,West Coast Region,New Zealand
HKN,Hoskins,West New Britain,Papua New Guinea
HKS,Hawkins Field,Mississippi,United States
HKT,Phuket International,Phuket Province,Thailand
HKV,Haskovo,Haskovo Province,Bulgaria
HKY,Hickory,North Carolina,United States
HLA,Lanseria,Gauteng,South Africa
HLB,Hillenbrand,Indiana,United States
HLC,Hill City,Kansas,United States
HLD,Hailar,Inner Mongolia Autonomous Region,China
HLF,Hultsfred,Kalmar lÃ_n,Sweden
HLG,Ohio County,West Virginia,United States
HLH,Ulanhot,Inner Mongolia Autonomous Region,China
HLI,Hollister,California,United States
